nano,radioactivity
170402029,0.01
21167474,0.02
42026249,0.03
17632166,0.04
38183443,0.05
45357073,0.06
34807421,0.07
52942701,0.08
67618293,0.09
73032878,0.10
133267604,0.11
136275103,0.12
115947025,0.13
117033565,0.14
254917109,0.15
303270124,0.16
410024426,0.17
520517159,0.18
470590079,0.19
823100656,0.20
803440147,0.21
1583697206,0.22
2154572717,0.23
2704547223,0.24
3265701245,0.25
4435485078,0.26
4784039929,0.27
