nano,radioactivity
38135746,0.01
32901386,0.02
37304193,0.03
20115663,0.04
54468971,0.05
60041691,0.06
73881379,0.07
68340414,0.08
92902028,0.09
82207883,0.10
113385023,0.11
42518152,0.12
72685126,0.13
103987676,0.14
94773298,0.15
166768397,0.16
168862024,0.17
184551663,0.18
149839234,0.19
180173680,0.20
277884911,0.21
331555328,0.22
359086281,0.23
339207378,0.24
665169068,0.25
517934546,0.26
794715339,0.27
982529982,0.28
1273469811,0.29
1328120153,0.30
1728660521,0.31
1954797303,0.32
2889861596,0.33
3512084558,0.34
4988564043,0.35
