nano,radioactivity
38152543,0.01
32269288,0.02
39707509,0.03
26607051,0.04
22681079,0.05
34121071,0.06
19790721,0.07
37873389,0.08
50300453,0.09
36671380,0.10
41369672,0.11
129530139,0.12
87812796,0.13
82001158,0.14
101855152,0.15
78689820,0.16
116759997,0.17
116021231,0.18
122239904,0.19
365297776,0.20
397386640,0.21
383265451,0.22
375596267,0.23
662595411,0.24
543688414,0.25
1002486505,0.26
870805965,0.27
1132150012,0.28
1445715421,0.29
1559495405,0.30
2339327082,0.31
3098955398,0.32
3583152535,0.33
5360837421,0.34
